"","rowid","UNIQUE_ID","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"1","0","10330100104",3,2,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,3,3,4,2,3,3,3,4,3,4,4,4,3,4,4,4,3
"2","1","10331100104",3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,4,2,3,3,3,3,3,3,4,3,3,4,4,3,3
"3","2","10332100104",3,2,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,3,3,4,2,3,3,3,4,3,4,4,4,3,4,4,4,3
"4","3","10333100104",3,2,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,3,3,4,2,3,3,3,4,3,4,4,4,3,4,4,4,3
"5","4","10334100104",3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,4,2,3,3,3,3,3,3,4,3,3,4,4,3,3
"6","5","10335100104",3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,4,2,3,3,3,3,3,3,4,3,3,4,4,3,3
"7","6","10336100104",1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,2,1,3,3,2,1
"8","7","10337100104",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,2,1,3,3,2,2
"9","8","10338100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,3,2,2,1,2,2,1,2,2,2,3,1,2,2,2,2,2,2,3,2,2,3,3,2,2
"10","9","10339100104",3,2,2,3,3,3,2,3,3,2,3,3,2,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,4,3,4,3,3,3,3,4,3,4,4,4,3,5,5,4,3
"11","10","10340100104",3,2,2,3,3,3,2,3,3,2,3,3,2,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,4,3,4,3,3,3,3,4,3,4,4,4,3,5,5,4,3
"12","11","10341100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"13","13","10299100104",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"14","17","10318102104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,2
"15","19","10318104104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"16","20","10320100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,2
"17","22","10322100104",2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,4,3,2,4,4,3,2
"18","23","10323100104",2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,4,3,2,4,4,3,2
"19","24","10324100104",2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,4,3,2,4,4,3,2
"20","25","10325100104",2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,4,3,2,4,4,3,2
"21","26","10326100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,2
"22","27","10327100104",2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,4,3,2,4,4,3,2
"23","29","10329100104",3,2,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,4,3,4,3,3,4,3,3,3,3,4,2,3,3,3,4,3,4,4,4,3,4,4,4,3
"24","30","10401100104",2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,3,2,3,3,2,2
"25","31","10402100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,2
"26","32","10403100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,3
"27","33","10404100104",2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,3,2,3,3,3,2
"28","34","10405100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,3,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2
"29","35","10406100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,3
"30","36","10407101104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,1,1,3,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,3,2,2
"31","37","10343101104",3,2,2,3,3,3,2,3,3,2,3,3,2,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,4,3,4,3,3,3,3,4,3,4,4,4,3,5,5,4,3
"32","38","10343102104",3,2,2,3,3,3,2,3,3,2,3,3,2,3,2,3,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,4,3,4,3,3,3,3,4,3,4,4,4,3,5,5,4,3
"33","39","10344100104",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,2
"34","40","10348100104",1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,2,1,2,2,2,1
"35","41","10349100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,3,1,2,2,2,2,2,2,3,2,2,3,3,2,2
"36","42","10350100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,1,3,2,2,1,2,2,1,2,2,2,3,1,2,2,2,2,2,2,3,2,2,3,3,2,2
"37","43","10351100104",1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,3,2,1,3,3,2,1
"38","44","10352100104",1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,2,1,2,2,2,1
"39","45","10353100104",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"40","46","10354100104",1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,0,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1
"41","47","10355100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,2
"42","48","10356100104",1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1
"43","49","10357100104",1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,0,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1
"44","50","10358100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,3,2,1,3,3,2,2
"45","51","10359100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,3,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2
"46","52","10360100104",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,2
"47","53","10361100104",1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1
"48","54","10362100104",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"49","55","10363100104",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"50","56","10364100104",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"51","57","10365100104",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"52","58","10366100104",1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,3,2,1,3,3,2,1
"53","59","10367100104",1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,2,1,2,2,2,1
"54","60","10368100104",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,3,2,1,3,3,2,1
"55","61","10369100104",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,3,2,1,3,3,2,1
"56","62","10370100104",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"57","63","10371100104",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,1
"58","64","10372100104",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,3,2,1,3,3,2,1
"59","65","10373100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,2
"60","66","10374100104",1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,2,1,2,2,2,1
"61","67","10375101104",1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,2,1,2,2,2,1
"62","68","10375102104",1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,2,1,2,2,2,1
"63","69","10376100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,2
"64","70","10378100104",2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,3,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2
"65","71","10381100104",2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,3,1,2,3,2,3,2,2,2,2,3,2,3,3,3,2,3,3,3,2
"66","72","10382100104",2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,1,2,2,2,3,2,2,2,2,2,2,3,3,3,2,3,3,3,2
"67","73","10384100104",2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,3,1,2,3,2,3,2,2,2,2,3,2,3,3,3,2,3,3,3,2
"68","74","10385100104",2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,3,1,2,3,2,3,2,2,2,2,3,2,3,3,3,2,3,3,3,2
"69","75","10386100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,3
"70","76","10387100104",1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,3,2,1,3,3,2,1
"71","77","10389100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,3
"72","78","10390100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,3
"73","79","10391100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,3
"74","80","10392100104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,3,2,2
"75","81","10393100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,1,3,2,2,1,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2
"76","82","10394100104",1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,2,1,2,2,2,1
"77","83","10395100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,1,3,2,2,1,2,2,1,2,2,2,3,1,2,2,2,2,2,3,3,2,2,3,3,2,2
"78","84","10396100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,1,3,2,2,1,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2
"79","85","10397100104",2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,3,2,3,3,3,2
"80","86","10398100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,2
"81","87","10399100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,2
"82","88","10400100104",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,3,2,4,4,3,3
"83","89","10426100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,1,3,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2
"84","90","10427100104",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,3,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2
